Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,%Px Chg,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1
SYK US Equity,2021-07-27,2021-04-27,2021-10-28,2.25,0.0524,32.55,-0.139344262295082,1,1,3,1.0,0.0012,0.069,0.0705,0.0575,-0.050199999999999995,-0.0106,0.0060999999999999995,-0.0048,-0.0368
NTAP US Equity,2021-02-24,2020-12-01,2021-06-02,1.1,0.0837,21.5,0.5670553935860057,0,1,7,0.0,-0.1448,0.047400000000000005,0.11109999999999999,0.086,0.11720000000000001,0.1085,0.056100000000000004,0.20550000000000002,0.0446
APH US Equity,2022-07-27,2022-04-27,2022-10-26,0.375,0.10619999999999999,22.99,-0.18243243243243257,1,1,6,1.0,0.0705,0.0758,0.087,0.0649,0.045599999999999995,0.0526,0.0268,0.037200000000000004,0.0667
APTV US Equity,2021-05-06,2021-02-03,2021-08-05,1.06,0.3893,57.46,-0.10914728682170538,0,1,2,0.0,-0.0102,0.0225,0.047,0.2877,-0.6239,0.09,-0.0018,0.22579999999999997,-0.0977
FITB US Equity,2021-10-19,2021-07-22,2022-01-20,0.952,0.058600000000000006,11.23,0.0725883476599809,0,1,5,2.0,-0.0027,0.11380000000000001,0.0495,0.044000000000000004,0.0473,-0.0415,-0.04650000000000001,0.036000000000000004,0.031
GS US Equity,2020-07-15,2020-04-15,2020-10-14,6.26,0.5832,8.76,0.2116182572614107,1,1,5,1.0,0.013500000000000002,0.1629,0.2091,-0.0717,0.505,0.48009999999999997,0.848,0.6525,0.7622
APD US Equity,2022-08-04,2022-05-05,2022-11-03,2.62,0.0054,23.95,-0.06554818571985954,1,1,0,1.0,0.0489,0.0547,0.045899999999999996,-0.0625,0.009899999999999999,0.028300000000000002,0.032799999999999996,-0.0248,0.0467
MO US Equity,2020-10-30,2020-07-28,2021-01-28,1.19,0.031200000000000002,8.86,-0.015555555555555656,0,1,3,2.0,-0.021400000000000002,-0.0161,0.0048,0.024700000000000003,0.0083,-0.0279,0.04769999999999999,0.0229,-0.0265
MS US Equity,2023-01-17,2022-10-14,2023-04-19,1.26,0.0236,13.26,0.19351935193519365,1,1,5,3.0,0.0591,0.3105,0.1787,0.10369999999999999,0.2147,0.055099999999999996,0.0591,0.0368,0.021
META US Equity,2020-10-29,2020-07-30,2021-01-27,2.4,0.25920000000000004,29.83,0.07728421812928854,0,1,1,2.0,-0.06309999999999999,-0.13,-0.0319,0.0608,-0.0433,0.014499999999999999,0.1962,0.40850000000000003,0.2061
XEL US Equity,2023-07-27,2023-04-27,2023-10-27,0.52,-0.0909,19.74,-0.054597701149425304,0,0,8,1.0,-0.0335,0.15560000000000002,-0.08990000000000001,-0.0806,-0.0064,-0.0559,0.1384,-0.020099999999999996,-0.0277
TDY US Equity,2020-07-22,2020-04-22,2020-10-21,2.659,0.3293,31.06,0.08753501400560215,1,1,6,1.0,0.0215,0.013300000000000001,0.0455,0.0816,0.17679999999999998,0.6085,0.2422,0.1577,0.1389
AZO US Equity,2021-09-21,2021-05-25,2021-12-07,35.72,0.19829999999999998,16.18,0.04589528118939867,1,1,2,2.0,0.0365,0.032400000000000005,0.0558,0.10679999999999999,0.0889,0.0548,0.098,0.1996,0.23370000000000002
MMC US Equity,2023-04-20,2023-01-26,2023-07-20,2.53,0.0218,23.76,-0.033753558357055624,1,1,5,0.0,0.0354,0.0173,0.0613,0.0087,0.0070999999999999995,0.0336,0.0358,0.1295,0.0407
ALGN US Equity,2021-02-03,2020-10-21,2021-04-28,2.289,0.083,129.7,0.331212152314482,1,1,3,3.0,0.1263,0.1176,-0.3738,-0.07919999999999999,-0.0388,0.0385,0.1047,0.20679999999999998,0.2194
OMC US Equity,2022-07-19,2022-04-19,2022-10-18,1.68,0.0653,9.54,-0.2684049079754601,1,1,1,1.0,0.0393,0.019299999999999998,0.0746,0.0106,0.0043,0.0089,0.1272,0.0524,0.048
AMZN US Equity,2020-07-30,2020-04-30,2020-10-29,0.515,0.4385,106.11,0.14293408013787157,1,1,1,1.0,0.037000000000000005,0.2408,-0.1578,1.1623999999999999,-0.5371,-0.0398,0.20170000000000002,0.37329999999999997,0.0928
HSIC US Equity,2020-08-04,2020-05-05,2020-11-02,0.0,0.0,20.71,0.5007246376811594,0,0,3,1.0,-0.025,0.0034999999999999996,-0.029300000000000003,0.1668,0.1446,0.1491,0.4727,0.006999999999999999,0.30210000000000004
COF US Equity,2022-07-21,2022-04-26,2022-10-27,4.96,-0.0356,4.56,-0.11111111111111116,0,0,5,1.0,-0.0467,0.0022,-0.021,-0.1585,0.365,0.0774,-0.4083,-0.2553,-0.1771
JKHY US Equity,2022-02-08,2021-11-08,2022-05-03,1.3,0.1444,35.99,-0.05883891213389125,1,1,7,3.0,0.0345,0.0768,0.1916,0.0362,-0.0355,-0.06559999999999999,0.0421,0.0978,0.1027
MTD US Equity,2023-02-09,2022-11-03,2023-05-04,12.1,0.0379,37.23,0.27631127871100425,0,1,6,3.0,-0.0139,0.0587,0.0197,0.0683,0.1629,-0.0696,0.0069,0.0215,0.01
UDR US Equity,2022-02-08,2021-10-26,2022-04-26,0.37,3.7436000000000003,1500.0,0.0,1,1,5,3.0,0.0235,-0.10710000000000001,-0.12279999999999999,8.0517,-0.1892,0.04,-0.2784,-0.8484999999999999,0.11410000000000001
